tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt33075815,movie,Kaveri,Kaveri,0,2024,\N,101,Action,10.0,1050
tt13088688,movie,Happy Hacker's Day,Happy Hacker's Day,0,2023,\N,\N,"Mystery,Thriller",10.0,169
tt29033317,movie,The Tank Hunter,The Tank Hunter,0,2020,\N,\N,Documentary,10.0,132
tt34571787,movie,Sun Tzu's Dream,Sun Tzu's Dream,0,2024,\N,\N,Documentary,10.0,73
tt21065098,movie,Prince Oak Oakleyski Starring Supremacy,Prince Oak Oakleyski Starring Supremacy,0,2023,\N,60,\N,10.0,32
tt9303810,movie,"La Nueve, Heroes en el olvido","La Nueve, Heroes en el olvido",0,2023,\N,\N,Documentary,10.0,22
tt28420272,movie,Hora Uncle,Hora Uncle,0,2024,\N,\N,Drama,10.0,16
tt12803632,movie,The Dancin' Bulldogs,The Dancin' Bulldogs,0,2020,\N,80,Documentary,10.0,15
tt14063190,movie,Serpentine Pink,Serpentine Pink,0,2022,\N,\N,"Comedy,Drama,Thriller",10.0,14
tt0103649,movie,All I Know Is,All I Know Is,0,1992,\N,\N,Drama,10.0,13
tt13509826,movie,FDA: Fresh Empire Campaign,FDA: Fresh Empire Campaign,0,2016,\N,\N,Reality-TV,10.0,13
tt26917062,movie,Swapnaloka,Swapnaloka,0,2023,\N,100,Drama,10.0,13
tt29921322,movie,Tell Me More About Evil,Tell Me More About Evil,0,2014,\N,49,Music,10.0,13
tt13172076,movie,The True Story of Tamara de Lempicka & The Art of Survival,The True Story of Tamara de Lempicka & The Art of Survival,0,2024,\N,96,Documentary,10.0,12
tt22175036,movie,Relentless Ride,Relentless Ride,0,2023,\N,106,Documentary,10.0,12
tt32793266,movie,Ormachithram,Ormachithram,0,2024,\N,124,\N,10.0,12
tt3823306,movie,The Act of Writing,The Act of Writing,0,2015,\N,\N,Documentary,10.0,12
tt9805208,movie,I Do Not Know What City Happens in His Eyes,I Do Not Know What City Happens in His Eyes,0,2019,\N,74,"Biography,Documentary,Family",10.0,12
tt12413918,movie,Zayed's Antarctic Lights,Zayed's Antarctic Lights,0,2018,\N,57,Documentary,10.0,11
tt27430155,movie,Giuseppe Garibaldi eroe leggendario,Giuseppe Garibaldi eroe leggendario,0,2023,\N,85,Documentary,10.0,11
tt27787044,movie,Right Here Right Now,Right Here Right Now,0,2024,\N,\N,Documentary,10.0,11
tt28789152,movie,My Father,My Father,0,2023,\N,80,Documentary,10.0,11
tt3297522,movie,Kumeyaay Land,Kumeyaay Land,0,2023,\N,\N,"Documentary,Drama",10.0,11
tt34387755,movie,Casebre,Casebre,0,2024,\N,\N,"Comedy,Drama",10.0,11
tt7776640,movie,Shiseido: Ibuki,Shiseido: Ibuki,0,2013,\N,\N,Biography,10.0,11
tt7989204,movie,P Rell: Crucifix,P Rell: Crucifix,0,2013,\N,5,Music,10.0,11
tt11354970,movie,Rainy in Glenageary,Rainy in Glenageary,0,2019,\N,95,Drama,10.0,10
tt13509440,movie,Ixel,Ixel,0,2014,\N,\N,Drama,10.0,10
tt29259789,movie,Sisters & The Shrink 4,Sisters & The Shrink 4,0,2023,\N,\N,Drama,10.0,10
tt8215820,movie,Are We Making a Film? Behind the Scenes: Follow the Dead,Are We Making a Film? Behind the Scenes: Follow the Dead,0,2018,\N,67,Documentary,10.0,10
